Obs_Date,Job_Open
12/1/14,4467
1/1/15,5244
2/1/15,5268
3/1/15,5159
4/1/15,6172
5/1/15,5612
6/1/15,5142
7/1/15,6391
8/1/15,5623
9/1/15,5577
10/1/15,6206
11/1/15,5272
12/1/15,5134
1/1/16,5894
2/1/16,5549
3/1/16,6058
4/1/16,6362
5/1/16,5773
6/1/16,5624
7/1/16,6407
8/1/16,5854
9/1/16,5962
10/1/16,5972
11/1/16,5536
12/1/16,5287
1/1/17,5529
2/1/17,5670
3/1/17,5742
4/1/17,6647
5/1/17,5839
6/1/17,6219
7/1/17,6658
8/1/17,6467
9/1/17,6439
10/1/17,6683
11/1/17,5832
12/1/17,5683
1/1/18,6568
2/1/18,6269
3/1/18,6744
4/1/18,7410
5/1/18,7015
6/1/18,7195
7/1/18,7609
8/1/18,7436
9/1/18,7504
10/1/18,7665
11/1/18,7086
12/1/18,6744
1/1/19,7442
2/1/19,6756
3/1/19,7257
4/1/19,7772
5/1/19,7284
6/1/19,7181
7/1/19,7433
8/1/19,7410
9/1/19,7231
10/1/19,7652
11/1/19,6428
12/1/19,6034
1/1/20,7101
2/1/20,6652
3/1/20,5731
4/1/20,5166
5/1/20,5403
6/1/20,5991
7/1/20,7229
8/1/20,6589
9/1/20,6630
10/1/20,7346
11/1/20,6355
12/1/20,6140
1/1/21,7171
2/1/21,7413
3/1/21,8339
4/1/21,9869
5/1/21,9662
6/1/21,10099
7/1/21,11947
8/1/21,11034
9/1/21,10966
10/1/21,12049
11/1/21,10531
12/1/21,10739
1/1/22,11344
2/1/22,11220
3/1/22,11968
4/1/22,12492
5/1/22,11147
6/1/22,10874
7/1/22,12572
8/1/22,10217
9/1/22,10806
10/1/22,11159
11/1/22,10058
12/1/22,10315
1/1/23,10502
2/1/23,9471
3/1/23,9477
4/1/23,10607
5/1/23,9093
6/1/23,8865
7/1/23,9615
8/1/23,9400
9/1/23,9303
10/1/23,9156
11/1/23,8395
12/1/23,8344
1/1/24,8845
2/1/24,8430
3/1/24,8197
4/1/24,8453
5/1/24,7977
6/1/24,7621
7/1/24,8378
8/1/24,7939
9/1/24,7239
10/1/24,8261
11/1/24,7713
12/1/24,7134
